able,a ,  capable
midnight,n ,  12 o'clock
yard,n ,  3 feet
volume,n ,  3-dimensional space
boat,n ,  a small vessel for travel on water
demand,n ,  ability and desire to purchase goods and services
intelligence,n ,  ability to comprehend
literacy,n ,  ability to read and write
voice,n ,  ability to speak
free,a ,  able to act at will
growth,n ,  abnormal proliferation of tissue
residence,n ,  abode
apathy,n ,  absence of emotion or enthusiasm
majority,n ,  absolute majority
fast,v ,  abstain from food
degree,n ,  academic degree
gas pedal,n ,  accelerator
emphasis,n ,  accent
achievement,n ,  accomplishment
agreement,n ,  accord
accumulation,n ,  accretion
experience,n ,  accumulation of knowledge or skill
charge,n ,  accusation
charge,v ,  accuse
black,a ,  achromatic
white,a ,  achromatic
admit,v ,  acknowledge
concede,v ,  acknowledge defeat
admission,n ,  acknowledgment
recognition,n ,  acknowledgment
thanks,n ,  acknowledgment of appreciation
receipt,n ,  acknowledgment of payment
friend,n ,  acquaintance
get,v ,  acquire
AIDS,n ,  acquired immune deficiency syndrome
delay,v ,  act later than planned
stimulation,n ,  act of arousing an organism to action
exchange,n ,  act of changing one thing for another
deal,n ,  act of distributing playing cards
favour,n ,  act of gracious kindness
performance,n ,  act of presenting a play or a piece
return,n ,  act of returning to a prior location
production,n ,  act or process of producing something
jest,v ,  act or speak playfully
solo,n ,  activity performed alone
cast,n ,  actors
version,n ,  adaptation
dependence,n ,  addiction
speech,n ,  address
formal,a ,  adhering to traditional standards
orthodox,a ,  adhering to what is commonly accepted
glue,n ,  adhesive
plaster,n ,  adhesive plaster
tape,n ,  adhesive tape
poison,v ,  administer poison to
council,n ,  administrative body
division,n ,  administrative unit
executive,n ,  administrator
confession,n ,  admission of misdeeds
teenager,n ,  adolescent
woman,n ,  adult female
notice,n ,  advance notification
lead,n ,  advantage held by a competitor
hardship,n ,  adversity
revolutionary,a ,  advocating or engaged in revolution
association,n ,  affiliation
open,a ,  affording free passage
tissue,n ,  aggregate of cells
hostility,n ,  aggression
fan,v ,  agitate the air
consensus,n ,  agreement
peasant,n ,  agricultural laborer
support,n ,  aiding the cause or policy or interests of
cabin,n ,  aircraft cabin
pilot,n ,  airplane pilot
wing,n ,  airplane wing
alarm,n ,  alarm clock
egg white,n ,  albumen
beer,n ,  alcoholic beverage
consciousness,n ,  alert cognitive state
extraterrestrial,n ,  alien
comprehensive,a ,  all-including
bond,n ,  alliance
distance,n ,  aloofness
directory,n ,  alphabetical list of names and addresses
index,n ,  alphabetical listing
height,n ,  altitude
ambition,n ,  ambitiousness
shell,n ,  ammunition
pardon,n ,  amnesty
quantity,n ,  amount
figure,n ,  amount of money expressed numerically
supply,n ,  amount of something available for use
entertainment,n ,  amusement
game,n ,  amusement or pastime
ancestor,n ,  ancestor
fox,n ,  animal
horse,n ,  animal
pet,n ,  animal
worm,n ,  animal
ankle,n ,  ankle joint
birthday,n ,  anniversary of the day someone is born
note,n ,  annotation
notice,n ,  announcement
program,n ,  announcement of a theatrical event
expect,v ,  anticipate
expectation,n ,  anticipation
anxiety,n ,  anxiousness
share,n ,  any of the equal portions into which the capital stock of a corporation is divided
factor,n ,  anything that contributes causally to a result
flat,n ,  apartment
seem,v ,  appear
debut,v ,  appear in public for the first time
texture,n ,  appearance of a surface or fabric
rub,v ,  apply friction
general,a ,  applying to most members of a category
assessment,n ,  appraisal
estimate,n ,  appraisal of value
permission,n ,  approval to do something
spider,n ,  arachnid
random,a ,  arbitrary
wall,n ,  architectural partition
archive,n ,  archives
arch,n ,  archway
room,n ,  area within a building
desert,n ,  arid land
division,n ,  arithmetic operation
weapon,n ,  arm
division,n ,  army unit
squad,n ,  army unit
garlic,n ,  aromatic bulb used as seasoning
tease,v ,  arouse hope or desire without satisfying them
move,v ,  arouse sympathy or compassion
moving,a ,  arousing deep emotion
pack,v ,  arrange in a container
row,n ,  arrangement of objects or people side by side in a line
timetable,n ,  arrival and departure schedule
bow,n ,  arrow launcher
gallery,n ,  art gallery
reservoir,n ,  artificial lake
craftsman,n ,  artisan
painter,n ,  artist
beg,v ,  ask for money or goods
battery,n ,  assault
claim,n ,  assertion
selection,n ,  assortment of things from which to choose
star,n ,  asterisk
far,a ,  at a long distance
fast,a ,  at a rapid tempo
runner,n ,  athlete
sport,n ,  athletics
front,n ,  atmospheric phenomenon at the boundary between two air masses
nuclear,a ,  atomic
strike,n ,  attack
costume,n ,  attire for special occasions
culture,n ,  attitudes and behavior
lawyer,n ,  attorney
cute,a ,  attractive
attraction,n ,  attractiveness
auction,n ,  auction sale
sound,n ,  auditory event
writer,n ,  author
command,n ,  authoritative instruction
regulation,n ,  authoritative rule
robot,n ,  automaton
transmission,n ,  automobile transmission
motorist,n ,  automobilist
fall,n ,  autumn
common,a ,  average or ordinary or usual
conscious,a ,  aware
axis,n ,  axis of rotation
nursery,n ,  baby's room
heel,n ,  back of the foot
bond,n ,  bail
sphere,n ,  ball
deposit,n ,  bank deposit
failure,n ,  bankruptcy
feast,n ,  banquet
drum,n ,  barrel
fence,n ,  barrier
baseball,n ,  baseball game
wrong,a ,  based on error
rational,a ,  based on reasoning
democratic,a ,  based upon the principles of democracy
cellar,n ,  basement
essential,a ,  basic and fundamental
infrastructure,n ,  basic features of a system
introduction,n ,  basic instructional text
cell,n ,  basic structural and functional unit of all organisms
principle,n ,  basic truth or law or assumption
foundation,n ,  basis
represent,v ,  be a delegate or spokesperson
move,v ,  be active
oppose,v ,  be against
suit,v ,  be agreeable or acceptable
know,v ,  be aware of the truth of something
ride,v ,  be carried or travel in or on a vehicle
depend,v ,  be contingent upon
dare,v ,  be courageous enough to try or do something
differ,v ,  be different
match,v ,  be equal or harmonize
know,v ,  be familiar or acquainted with a person or an object
like,v ,  be fond of
lead,v ,  be in charge
dominate,v ,  be in control
love,v ,  be in love with
owe,v ,  be obliged to pay
mind,v ,  be offended or bothered by
run,v ,  be operating or functioning
belong,v ,  be owned by
beat,v ,  be superior to
host,v ,  be the host
win,v ,  be victorious
lack,v ,  be without
worry,v ,  be worried
bill,n ,  beak
kidney,n ,  bean-shaped excretory organ
carry,v ,  bear
testify,v ,  bear witness
grace,n ,  beauty of movement
increase,v ,  become bigger or greater
conceive,v ,  become pregnant
sheet,n ,  bed sheet
friendly,a ,  befitting a friend
low,a ,  being at small elevation
present,a ,  being here
critical,a ,  being in a state of crisis or emergency
opposed,a ,  being in opposition
hot,a ,  being of high temperature
outer,a ,  being on the outside
salvation,n ,  being saved from harm
swallow,v ,  believe or accept without questioning
common,a ,  belonging to a community
noble,a ,  belonging to hereditary aristocracy
native,a ,  belonging to one by birth
left,a ,  belonging to the political or intellectual left
flex,v ,  bend
bow,v ,  bend the head or the upper body in respect or greeting
flexible,a ,  bendable
advantage,n ,  benefit
hook,n ,  bent implement
mourning,n ,  bereavement
engagement,n ,  betrothal
coffee,n ,  beverage
tea,n ,  beverage
wine,n ,  beverage made from fermented grapes
large,a ,  big
charge,n ,  billing
contract,n ,  binding agreement between two or more persons
wing,n ,  biological organ for flying
duck,n ,  bird
eagle,n ,  bird
turkey,n ,  bird domesticated for food
delivery,n ,  birth
pill,n ,  birth control pill
bitter,a ,  bitter-tasting
space,n ,  blank
cover,n ,  blanket
blast,v ,  blare
approval,n ,  blessing
obstacle,n ,  block
brick,n ,  block of baked clay
vein,n ,  blood vessel
mosquito,n ,  blood-sucking insect
depressed,a ,  blue
heart,n ,  bodily organ
muscle,n ,  bodily tissue
scale,n ,  body covering of many animals
mass,n ,  body of matter
constituency,n ,  body of voters
lake,n ,  body of water
appendix,n ,  body part
bone,n ,  body part
head,n ,  body part
joint,n ,  body part
lap,n ,  body part
limb,n ,  body part
nail,n ,  body part
organ,n ,  body part
tongue,n ,  body part
flesh,n ,  body tissue
guard,n ,  bodyguard
steam,n ,  boiling water
bomb,v ,  bombard
rib,n ,  bone
tooth,n ,  bonelike structure in the jaws
dividend,n ,  bonus
horn,n ,  bony outgrowths on the head
album,n ,  book of blank pages
notebook,n ,  book with blank pages
cap,n ,  bottle top
base,n ,  bottom side of a geometric figure
avenue,n ,  boulevard
end,n ,  boundary
cow,n ,  bovine
ring,n ,  boxing ring
executive,n ,  branch of government
electronics,n ,  branch of physics
toast,n ,  bread
width,n ,  breadth
shatter,v ,  break
smash,v ,  break apart
smash,v ,  break into pieces
cereal,n ,  breakfast food
hiccup,v ,  breathe spasmodically
corruption,n ,  bribery
workshop,n ,  brief intensive course
bulletin,n ,  brief report
call,n ,  brief social visit
summary,n ,  brief statement
glimpse,n ,  brief view
brilliance,n ,  brilliance
prosecute,v ,  bring a criminal action against
bring,v ,  bring along
introduce,v ,  bring in
import,v ,  bring in from abroad
create,v ,  bring into existence
organize,v ,  bring order and organization to
update,v ,  bring up to date
glass,n ,  brittle transparent solid
spectrum,n ,  broad range of related values
program,n ,  broadcast
reception,n ,  broadcast reception
fragment,n ,  broken-off piece
eyebrow,n ,  brow
review,n ,  brushup
champagne,n ,  bubbly wine
garage,n ,  building
center,n ,  building dedicated to a particular activity
architecture,n ,  building design
displace,v ,  bump
pack,n ,  bundle carried on the back
nerve,n ,  bundle of nerve fibers
rabbit,n ,  burrowing animal
operation,n ,  business especially one run on a large scale
counter,n ,  business table
agency,n ,  business that serves other businesses
traffic,n ,  buying and selling
multiply,v ,  calculate
month,n ,  calendar month
week,n ,  calendar week
request,v ,  call for
cancel,v ,  call off
run,v ,  campaign for office
wolf,n ,  canine mammal
sail,n ,  canvas
content,n ,  capacity
memory,n ,  capacity to remember
legend,n ,  caption
prisoner,n ,  captive
horn,n ,  car horn
garage,n ,  car repair shop
consideration,n ,  careful thought
shark,n ,  carnivorous fish
waterfall,n ,  cascade
precedent,n ,  case in point
advance,n ,  cash advance
register,n ,  cash register
barrel,n ,  cask
coffin,n ,  casket
vote,v ,  cast a vote in an election
catalogue,n ,  catalog
capture,v ,  catch
bracket,n ,  category
white,a ,  caucasian
cause,n ,  causal agent
nature,n ,  causal agent creating and controlling the universe
offend,v ,  cause to feel resentment
pour,v ,  cause to flow
flush,v ,  cause to flow or flood
crash,v ,  cease operating abruptly
planet,n ,  celestial body
star,n ,  celestial body
orbit,n ,  celestial orbit
cell phone,n ,  cellular telephone
penny,n ,  cent
core,n ,  center of an object
wheat,n ,  cereal
hemisphere,n ,  cerebral hemisphere
ceremony,n ,  ceremonial occasion
parade,n ,  ceremonial procession
funeral,n ,  ceremony
license,v ,  certify
necklace,n ,  chain
throne,n ,  chair of a monarch
appeal,v ,  challenge a decision
title,n ,  championship
reform,n ,  change for the better
move,v ,  change position
convert,v ,  change religious beliefs
freeze,v ,  change to ice
feature,n ,  characteristic
provincial,a ,  characteristic of the provinces
ring,n ,  characteristic sound
